image,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled
A112 - 224.tif,30,56936,3.255061954311701,3.1873673766691697,3.263059520629552,1.001551857091767,0.9643233675567855,1.0959845035178648,0.43807731982082126,0.4410373798785078,0.5057436843488885,159.6477975270479,106.02587889387372,48.925799999999995,157812
A112 - Site 13.tif,5,22146,5.833223547575055,5.653826115938228,4.506921709902637,1.42102277745392,1.0052646796016729,0.9307322626613915,0.33241639086160013,0.19234245213099427,0.2602580976973555,100.22943195159397,79.53087715295996,22.238999999999997,43835
A112 - Site 2.tif,1,2721,4.705381218306871,4.705381218306871,4.705381218306871,1.0670219373395098,1.0670219373395098,1.0670219373395098,0.2932700854489153,0.2932700854489153,0.2932700854489153,118.59536934950386,91.70193502574116,25.2042,5633
A112 - Site 20.tif,3,32817,5.016185385684557,4.331136192972497,5.000624637131269,1.8816678323321085,1.3813229476543576,1.862237072241365,0.569448224139469,0.4719468243002998,0.5933738371973676,118.62281744217935,74.44757449067622,23.7216,30138
A112 - Site 21.tif,3,12225,3.6753282846452784,3.7131972019702575,3.4895862201217787,0.9487627647609501,0.8530551326290069,1.2189800882350321,0.38056942302197266,0.22889589215034,0.5368522840379529,103.47321063394683,67.32801304541186,29.651999999999997,20237
A112 - Site 34.tif,5,14664,5.985898838759592,6.148161724095599,5.737203801776897,0.776073922815575,0.5886378921603203,0.7783197332687959,0.15060433337092533,0.14626004362960324,0.15695461367059999,153.10761047463174,132.33674740905084,26.686799999999998,32903
A112 - Site 4.tif,4,12090,5.07548864192035,4.911795902389908,4.838792702873697,0.9091905700051837,0.9470950039273518,0.7315088110632008,0.22511093543329105,0.22728849410853907,0.17810037734452486,121.95789909015716,103.52080470704294,25.2042,28383
A112 - Site 46.tif,3,5158,5.051285184106628,5.384115409650535,4.611698165454837,0.3956096675594718,0.5252418045908224,0.43414757728983083,0.09852041678061459,0.10809949943702668,0.10392395450002696,109.39685924777045,99.09818407399052,23.7216,17732
A112 - Site 5.tif,5,18305,4.718649268074255,4.482900832864323,3.9902910167220678,1.1236587417914912,1.1511402625970382,1.059865136111967,0.3322918561612636,0.3175827179533355,0.3616761451047959,147.90013657470635,108.61623529411764,37.065,42500
A112_001.tif,24,37580,3.377904945868139,3.149780180677712,3.647212449070525,1.1421773247154439,1.0292062219479754,1.422568408093455,0.5095041126928936,0.4822828756540203,0.6394588894859475,156.81335816923897,95.64946042167195,42.9954,126117
A112_002.tif,16,46060,3.5921948714465723,3.7319173968296377,3.9308489688604236,1.3134915945035917,1.3387264495316837,1.7098679098605922,0.5809412300585517,0.5654064706261823,0.7698705501124508,169.00842379504994,95.49196904633115,42.9954,90587
A112_003.tif,24,31069,3.3259101647010234,3.17416307216268,3.378828138930748,1.1606797801248714,1.0255764712123843,1.2261683273085968,0.5378766102874172,0.51054463572683,0.5696061776951783,145.27406739837136,92.55446968614564,42.9954,104985
A112_004.tif,33,66104,3.245068991420778,3.2974623689922073,3.6948971172592335,1.16018252416774,1.0933572151405175,1.5978499856617572,0.5555125733969842,0.5486501696288345,0.7619523478635186,175.29774295050223,99.49062649477585,47.4432,173521
A112_005.tif,34,68360,3.4137307675245956,3.390331564011675,3.330687860635535,1.27001734315905,1.1937185541296318,1.214613579240502,0.5916985949193703,0.6032374786751535,0.5739938289456976,148.1423346986542,94.11875190904902,44.477999999999994,193159
A112_006.tif,20,64095,3.355874216404947,3.254704294582398,3.4868607118698782,1.2598448348824174,1.1831758384701523,1.4455625217535775,0.6113215514332004,0.6171308206362083,0.7081584300611852,160.25821046883533,93.81928961707223,45.9606,131957
A112_007.tif,19,26201,3.309627881066825,3.260777433290932,3.365759852319721,1.207514280510173,1.2380332750727818,1.3519994431948301,0.5848811601479942,0.5913283962120209,0.671380486442842,164.6724934162818,98.5248390449002,48.925799999999995,83719
A112_008.tif,22,52747,3.4743832710717597,3.5702822429278696,3.699639916620777,1.2988312595251306,1.4281376985777134,1.6386546525265324,0.599354953541768,0.6569212782924345,0.7950831482891223,170.03767038883728,94.72411934953979,45.9606,115057
A112_009.tif,26,67225,3.354440237494511,3.3311756965676493,3.454997716931175,1.212027956646793,1.3640189007519996,1.4152264119460913,0.5786729139780833,0.6147361726042517,0.6938162177032051,169.03852733358124,99.7974429338369,48.925799999999995,175279
A112_010.tif,47,56473,3.4465723034715183,3.4109981036306567,3.6386152664505813,1.3179701945333826,1.1760253496133248,1.5147939033494107,0.620311398225973,0.5443865614441182,0.71323979015679,41592.45076408195,24277.074933140804,11430.846,196682
A113 - Site 15.tif,3,13213,4.541629192844513,4.71695247397353,4.779246620643349,0.4612750852142748,0.5984549458611609,0.5896187909872548,0.13438782065025914,0.15859181759456972,0.14073297555601547,141.71422084310905,124.23084444685878,29.651999999999997,36817
A124 - Site 12.tif,2,33988,5.825278385568572,5.825278385568572,5.912379778575097,0.9102237763053359,0.9102237763053359,1.275352342118926,0.1971536598051795,0.1971536598051795,0.2750366176265321,105.18833117570908,82.49828257384932,17.7912,30569
A124 - Site 22.tif,2,31634,6.364484633278128,6.364484633278128,3.653964243687189,1.3607630950401637,1.3607630950401637,0.6735739752790597,0.26800902607582966,0.26800902607582966,0.22600193751223308,108.34734779035216,88.37453226864174,29.651999999999997,25923
A125 - Site 10.tif,2,39830,4.87286049802835,4.87286049802835,5.108546383798239,0.5373282393327016,0.5373282393327016,1.4282942019073035,0.15847702232514818,0.15847702232514818,0.3880968289937397,90.8871704745167,65.47610265526053,17.7912,45005
A125 - Site 19.tif,3,29648,6.05550426624733,5.976332813771445,5.6352115552183415,2.07618136870281,2.316047131907983,2.0091944476414088,0.5330865420017928,0.5750578907130041,0.554105065640591,133.67623448461953,86.01492745535714,23.7216,35840
A125 - Site 29.tif,1,32837,3.9932480769882774,3.9932480769882774,3.9932480769882774,0.8164757957214994,0.8164757957214994,0.8164757957214994,0.25701426584457976,0.25701426584457976,0.25701426584457976,106.56701282090324,84.77788654747798,26.686799999999998,19409
A125 - Site 37.tif,3,19729,4.081660482086104,3.4388174984569395,3.930523760005193,0.79529313931347,0.6324566094010635,0.7024344804866925,0.23650282264893882,0.2895210265600337,0.21760069798739298,87.41091793806072,71.78947751949282,22.238999999999997,27446
A125 - Site 4.tif,4,32794,5.757173788487874,4.7053500654491724,4.4124585010082695,1.392345033254964,1.1700503909966256,0.9563851940413602,0.28984789466347183,0.3310751537846439,0.27672595716650883,91.58675367445264,71.7356400232887,20.7564,60115
A126 - Site 19.tif,1,80516,6.654222108291081,6.654222108291081,6.654222108291081,0.5309348053825649,0.5309348053825649,0.5309348053825649,0.0867074790157064,0.0867074790157064,0.0867074790157064,98.65549704406578,90.78385761415453,14.825999999999999,47589
A126 - Site 4.tif,3,58116,5.670552374724607,6.072729666889797,4.900307499148897,1.6236481416426234,1.4060750065184842,1.5579617598615205,0.40206133714001097,0.40091141004571734,0.4661282468034546,116.24313442081355,79.28578872250289,23.7216,44141
A126 - Site 47.tif,2,18611,5.002919780892425,5.002919780892425,4.8256814314537895,0.9236499270268119,0.9236499270268119,1.0639202972649493,0.23071104215397806,0.23071104215397806,0.28282505432342037,100.16377411208425,78.08061884329486,20.7564,16547
A126 - Site 48.tif,7,9292,4.776201183876238,4.937889737273172,4.187040031674293,1.0863798368834208,1.3862303696916527,1.1398944967157496,0.2851596103167809,0.2993520657836412,0.3740860039356339,117.94640551011624,85.83626146293265,28.1694,32387
A13 - Site 8.tif,32,117807,4.2522089687450295,4.095260756309575,4.076339368628574,1.767164051210735,1.669473877054605,1.6273605613678859,0.715659977739097,0.671059118675541,0.6645057754449923,35176.6617433599,21133.397229546445,8629.4733,210868
A139 - Site 18.tif,2,327573,7.530453094529654,7.530453094529654,5.280787846514491,1.3388045982468657,1.3388045982468657,0.9893106870457192,0.2194982662511525,0.2194982662511525,0.23052917449258323,101.78084884895885,82.71307251908397,19.273799999999998,83840
A139 - Site 20.tif,4,105838,5.3874430494823216,4.973306623823828,3.9324831340095474,0.7054435029316222,0.703526277379527,0.44700048851747637,0.16185776645615324,0.12485208508500664,0.12824636755957197,122.43628942345849,108.51910800919227,31.1346,93992
