image,object_id,area_px,mu_F,mu_B,sigma_B_mad,n_bg_px,snr,cnr,weber_contrast
A112 - 219.tif,27,7162,116.71641999441496,91.02955496386458,38.547599999999996,26290,3.027851797884601,0.6663674268666975,0.28218159517450475
A112 - 219.tif,28,948,105.66350210970464,82.25923872875093,35.5824,5412,2.9695439902875913,0.65774830743222,0.2845183561117538
A112 - 219.tif,29,3873,139.2328943971082,101.22767578368928,57.8214,8007,2.4079820684561146,0.6572863785180929,0.3754429637491315
A112 - 219.tif,30,7797,224.274208028729,174.26827441581784,96.369,6676,2.3272443213632656,0.5189006174985955,0.286948004607675
A112 - 219.tif,31,1195,170.12635983263598,99.0926449787836,34.099799999999995,4242,4.989072070297928,2.0831123593986263,0.7168414453150662
A112 - 219.tif,32,1310,171.53893129770992,118.92590725806451,51.891,3968,3.305754972242824,1.0139142438863438,0.4424017041219893
A112 - 219.tif,33,11610,172.33695090439275,94.84180472896895,40.0302,12434,4.3051733656424656,1.9359170365390286,0.8170990249364404
A112 - 219.tif,34,1549,191.16397675919947,142.57421255381826,77.09519999999999,4413,2.479583381772194,0.6302566722581776,0.34080331450985035
A112 - 219.tif,35,3789,133.11902876748482,98.79893632737479,47.4432,6769,2.8058610873513214,0.7233932878236733,0.34737309643613073
A112 - 219.tif,36,4404,111.45049954586739,90.61497797356829,38.547599999999996,10215,2.891243540893725,0.5405141063748187,0.22993463151397908
A112 - 219.tif,37,938,152.05330490405117,97.42072302875036,40.0302,3513,3.7984647807422025,1.3647841345197618,0.5607901498900804
A112 - 219.tif,38,4344,112.0658379373849,84.51364321952558,34.099799999999995,7293,3.2864074834609247,0.8079869884802684,0.32600883910579925
A112 - 219.tif,39,2353,159.29621759456015,86.25004017354973,35.5824,6223,4.4768261148711685,2.0528738196547076,0.8469118074097123
A112 - 219.tif,40,490,140.4551020408163,123.03012820512821,45.9606,3120,3.0559893041051773,0.37912851076567367,0.14163176197962762
A112 - 219.tif,41,1250,156.5088,90.87249593936113,44.477999999999994,3694,3.5187913117678877,1.4757026855047857,0.72229009861482
A112 - 219.tif,42,264,120.4090909090909,89.40727560300515,32.6172,2529,3.69158268864817,0.9504744520247298,0.346748238256085
A112 - 219.tif,43,3278,136.91214154972545,92.3139753218884,45.9606,7456,2.9789023972693225,0.9703564839913638,0.4831139171235681
A112 - 219.tif,44,2429,146.41333882256072,88.52473199172465,35.5824,5317,4.114768503007471,1.6268887656416424,0.6539258071937262
A112 - 219.tif,45,844,145.0521327014218,90.68038133467135,32.6172,3986,4.447105596340298,1.6669656300994815,0.5995977361419148
A112 - 219.tif,46,805,137.51801242236024,88.0,38.547599999999996,3924,3.5674857160156637,1.2845939153024912,0.5627046865537864
A112 - 219.tif,47,2854,159.58584442887175,101.15637642919965,40.0302,5685,3.986636199394592,1.4596346754469314,0.577615273069724
A112 - 219.tif,48,1251,186.26618705035972,140.12576153176676,80.0604,4596,2.326570776902114,0.5763201971615151,0.3292786780312345
A112 - 219.tif,49,2234,183.11862130707252,85.16598227793386,40.0302,4627,4.574511775142952,2.4469685138887383,1.1501380762330076
A112 - 219.tif,50,8695,202.72236917768834,134.47940623039932,72.64739999999999,9566,2.7904972394026957,0.939372406141105,0.5074603231463998
A112 - 219.tif,51,610,144.36393442622952,134.0096599690881,54.856199999999994,2588,2.631679452822338,0.1887530389500895,0.07726513490711931
A112 - 219.tif,52,904,105.10619469026548,71.30953020134228,35.5824,3725,2.953881544267016,0.9498140788542947,0.47394316564362393
A112 - 220.tif,1,683,126.05270863836017,97.70950594121325,29.651999999999997,3198,4.251069357744822,0.9558614153375256,0.2900762051882526
A112 - 220.tif,2,6437,173.37424265962406,96.14947974730583,40.0302,10764,4.331086095405799,1.9291625545969442,0.803174006840639
A112 - 220.tif,3,754,171.25862068965517,111.20418410041842,51.891,3585,3.3003530603891167,1.1573189296344948,0.5400375630615362
A112 - 220.tif,4,1280,123.3015625,101.01587594609562,41.5128,5417,2.970205875544361,0.5368389159135495,0.22061568385142133
A112 - 220.tif,5,3128,166.68574168797954,116.01538293694087,56.3388,9166,2.9586313811865574,0.8993865460756142,0.43675551865576784
A112 - 220.tif,6,466,128.42060085836908,109.00668286755771,48.925799999999995,3292,2.624803290536303,0.3968032814352211,0.17809842000804804
A112 - 220.tif,7,1125,168.536,114.14432989690722,41.5128,3686,4.059856236134432,1.3102385310070723,0.4765166184553629
A112 - 220.tif,8,189,112.3862433862434,96.53447432762836,56.3388,2045,1.9948284906014169,0.2813650460393438,0.16420837392425872
